danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.539,0.846,-3.192,0.0354,0.0063,1.68e-06,0.13,0.46,106.992,k-pop
0.729,0.898,-1.029,0.0391,0.315,0.0,0.107,0.517,126.977,k-pop
0.609,0.246,-8.449,0.0376,0.784,0.0,0.0825,0.371,123.773,k-pop
0.763,0.658,-5.643,0.147,0.0258,0.0,0.0915,0.389,80.038,k-pop
0.604,0.875,-1.995,0.0539,0.244,0.0,0.114,0.219,129.925,k-pop
0.628,0.284,-11.629,0.102,0.544,5.01e-06,0.121,0.354,91.131,k-pop
0.758,0.402,-5.066,0.0459,0.411,0.0,0.217,0.519,92.109,k-pop
0.756,0.922,-2.683,0.0539,0.0615,0.000462,0.0723,0.809,100.005,k-pop
0.694,0.748,-2.93,0.167,0.0222,0.0,0.155,0.521,92.918,k-pop
0.538,0.436,-8.73,0.0504,0.726,0.0,0.151,0.37,87.111,k-pop
0.738,0.676,-3.025,0.0507,0.446,0.0,0.253,0.961,95.04,k-pop
0.715,0.831,-6.161,0.0729,0.223,3.84e-06,0.132,0.805,100.006,k-pop
0.536,0.707,-7.086,0.1,0.158,0.0,0.211,0.684,77.074,k-pop
0.662,0.716,-4.942,0.118,0.12,0.0,0.396,0.727,102.1,k-pop
0.817,0.747,-3.047,0.0625,0.043,0.0,0.0601,0.618,103.026,k-pop
0.497,0.431,-4.755,0.0287,0.66,0.0,0.153,0.167,133.675,k-pop
0.756,0.675,-6.619,0.0375,0.0446,0.0,0.56,0.401,124.975,k-pop
0.699,0.87,-5.216,0.232,0.0856,0.0,0.0507,0.729,96.945,k-pop
0.504,0.712,-4.705,0.379,0.175,0.0,0.377,0.307,189.577,k-pop
0.827,0.722,-4.804,0.0945,0.00579,0.0,0.0935,0.589,102.972,k-pop
0.773,0.237,-9.745,0.0604,0.784,0.0,0.101,0.635,94.185,k-pop
0.574,0.909,-3.067,0.0861,0.0699,0.0,0.0544,0.489,146.723,k-pop
0.609,0.809,-9.869,0.0491,0.0314,0.0,0.0504,0.715,146.768,k-pop
0.596,0.882,-2.258,0.0697,0.621,0.0,0.0682,0.4,130.027,k-pop
0.737,0.818,-2.892,0.0492,0.0936,0.0,0.0577,0.893,116.93,k-pop
0.651,0.749,-3.707,0.0412,0.188,0.0,0.0723,0.93,150.019,k-pop
0.769,0.837,-3.499,0.0631,0.359,0.0,0.238,0.584,120.005,k-pop
0.738,0.909,-2.657,0.0321,0.0967,0.0,0.0765,0.769,106.031,k-pop
0.718,0.476,-9.205,0.139,0.422,0.0,0.0876,0.448,48.973,k-pop
0.547,0.642,-4.411,0.0348,0.505,9.88e-06,0.18,0.404,78.907,k-pop
0.531,0.478,-6.853,0.0528,0.753,0.0,0.103,0.408,143.81,k-pop
0.621,0.673,-3.194,0.0606,0.467,0.0,0.323,0.289,143.889,k-pop
0.72,0.746,-3.143,0.107,0.152,0.0,0.276,0.587,90.026,k-pop
0.397,0.686,-4.425,0.0311,0.37,1.73e-06,0.115,0.486,80.038,k-pop
0.786,0.853,-2.687,0.0816,0.0688,0.0,0.0759,0.45,125.034,k-pop
0.389,0.467,-5.126,0.0347,0.787,1.39e-05,0.129,0.25,77.943,k-pop
0.69,0.6,-4.336,0.137,0.656,0.0,0.631,0.236,131.821,k-pop
0.853,0.638,-4.911,0.0536,0.379,0.0,0.27,0.872,102.06,k-pop
0.629,0.421,-6.746,0.0364,0.542,3.56e-06,0.117,0.353,87.939,k-pop
0.716,0.906,-3.539,0.0717,0.00423,0.0,0.0547,0.762,101.028,k-pop
0.636,0.702,-5.352,0.0334,0.0223,0.0,0.293,0.516,135.104,k-pop
0.843,0.807,-3.794,0.0632,0.0135,6.44e-05,0.227,0.833,104.962,k-pop
0.851,0.842,-3.17,0.214,0.00474,0.000768,0.314,0.728,102.566,k-pop
0.767,0.755,-3.938,0.03,0.303,3.62e-05,0.105,0.631,120.978,k-pop
0.749,0.85,-4.346,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,k-pop
0.814,0.683,-2.596,0.195,0.0943,0.0,0.0678,0.757,140.051,k-pop
0.726,0.772,-4.373,0.113,0.451,0.0,0.195,0.778,80.017,k-pop
0.631,0.728,-5.111,0.284,0.0511,0.0,0.171,0.395,139.977,k-pop
0.526,0.828,-3.82,0.143,0.00773,0.0,0.296,0.663,110.182,k-pop
0.72,0.918,-2.602,0.0991,0.0497,1.68e-06,0.144,0.551,139.998,k-pop
0.533,0.823,-4.109,0.252,0.0516,0.0,0.473,0.706,89.711,k-pop
0.476,0.581,-8.795,0.12,0.523,0.0,0.201,0.282,129.568,k-pop
0.598,0.775,-4.035,0.0545,0.022,0.0,0.0677,0.687,129.819,k-pop
0.612,0.844,-4.694,0.0756,0.142,0.0,0.287,0.653,134.868,k-pop
0.667,0.889,-4.851,0.0918,0.00912,0.0,0.0816,0.541,169.959,k-pop
0.438,0.178,-20.392,0.0445,0.908,0.752,0.0688,0.166,114.515,classical
0.33,0.0682,-29.917,0.0378,0.988,0.916,0.0893,0.329,91.942,classical
0.311,0.105,-19.444,0.0336,0.905,0.000251,0.164,0.0385,129.491,rock
0.613,0.639,-9.681,0.0288,0.0184,0.431,0.0948,0.244,117.97,rock
0.326,0.84,-4.319,0.0592,0.000505,0.0,0.292,0.445,120.361,folk
0.65,0.807,-4.157,0.0698,0.0197,0.00611,0.094,0.77,88.475,rock
0.513,0.874,-5.828,0.0289,0.337,0.00343,0.126,0.586,98.003,rock
0.534,0.36,-12.942,0.0778,0.296,0.00158,0.382,0.387,153.985,pop
0.689,0.268,-15.722,0.505,0.923,1.69e-06,0.31,0.569,121.202,pop
0.766,0.825,-5.266,0.0706,0.0498,0.000137,0.104,0.583,98.007,rock
0.479,0.707,-4.968,0.0659,0.0471,0.0,0.0932,0.661,148.092,rock
0.562,0.813,-4.247,0.0892,0.0523,1.6e-06,0.192,0.209,134.696,pop
0.715,0.665,-7.736,0.0502,0.0996,0.0,0.224,0.84,78.502,pop
0.264,0.378,-14.059,0.128,0.948,0.00841,0.104,0.186,81.745,singer-songwriter
0.305,0.965,-5.926,0.0809,0.00128,0.00124,0.317,0.644,90.81,punk
0.183,0.938,-11.314,0.0681,6.27e-05,1.83e-06,0.326,0.184,160.257,punk
0.239,0.82,-9.41,0.0487,0.00847,0.676,0.369,0.547,165.18,punk
0.218,0.819,-9.783,0.0604,2.51e-05,0.604,0.362,0.414,147.555,punk
0.386,0.964,-11.31,0.076,0.0589,0.948,0.362,0.0571,90.257,punk
0.687,0.617,-5.213,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079,rock
0.549,0.755,-6.722,0.0303,0.00137,0.00573,0.141,0.441,127.0,rock
0.657,0.54,-9.875,0.0232,0.415,1.74e-06,0.0809,0.673,94.258,soul
0.363,0.268,-9.632,0.0301,0.85,0.0,0.216,0.45,68.885,soul
0.342,0.986,-5.657,0.0903,7.65e-05,0.00594,0.3,0.436,153.208,emo
0.342,0.986,-5.657,0.0903,7.65e-05,0.00594,0.3,0.436,153.208,punk
0.331,0.921,-10.637,0.045,1.16e-05,0.015,0.45,0.29,98.369,punk
0.379,0.897,-11.437,0.0717,3e-05,0.116,0.255,0.595,89.021,punk
0.208,0.95,-9.723,0.106,1.93e-05,0.364,0.093,0.152,91.485,punk
0.277,0.67,-9.381,0.0376,6.28e-05,0.751,0.237,0.217,148.342,grunge
0.277,0.67,-9.381,0.0376,6.28e-05,0.751,0.237,0.217,148.342,rock
0.378,0.896,-4.066,0.0407,0.000452,0.0,0.194,0.469,174.302,rock
0.39,0.649,-5.163,0.0345,0.172,0.0,0.216,0.144,121.16,rock
0.727,0.739,-7.38,0.0343,0.137,0.0335,0.0857,0.783,100.994,folk
0.727,0.739,-7.38,0.0343,0.137,0.0335,0.0857,0.783,100.994,singer-songwriter
0.769,0.505,-7.345,0.0829,0.311,7.49e-05,0.0777,0.757,171.804,pop
0.767,0.787,-9.897,0.0331,0.0163,0.583,0.0513,0.964,126.879,grunge
0.767,0.787,-9.897,0.0331,0.0163,0.583,0.0513,0.964,126.879,rock
0.362,0.911,-5.966,0.049,0.0336,0.0,0.466,0.498,171.112,rock
0.613,0.72,-7.957,0.0425,0.0132,0.0,0.104,0.561,117.341,grunge
0.613,0.72,-7.957,0.0425,0.0132,0.0,0.104,0.561,117.341,rock
0.521,0.672,-10.047,0.0478,0.482,0.0,0.366,0.601,137.926,disco
0.521,0.672,-10.047,0.0478,0.482,0.0,0.366,0.601,137.926,funk
0.521,0.672,-10.047,0.0478,0.482,0.0,0.366,0.601,137.926,soul
0.918,0.609,-5.64,0.0791,0.0928,0.0,0.139,0.304,128.008,pop
0.828,0.794,-7.751,0.0699,0.0816,5.34e-06,0.614,0.509,127.987,pop
0.781,0.745,-5.81,0.0332,0.198,1.14e-05,0.36,0.326,129.998,pop
