Sia,Cheap Thrills (feat. Sean Paul),378iszndTZAR4dH8kwsLC6,0.592,0.8,-4.931,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,"['australian dance', 'australian pop', 'pop']"
Jon Bellion,All Time Low,1CnPYaKxTVb4LWOtiGOm0m,0.617,0.567,-4.188,0.0828,0.0584,0,0.0933,0.505,90.246,['pop rap']
Lady A,Need You Now,7h70RTLbnhDyPGXjl3iEhh,0.581,0.717,-4.433,0.0318,0.0298,0.000186,0.243,0.316,107.884,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']"
Desiigner,Panda,5OOkp4U9P9oL23maHFHL1h,0.576,0.766,-4.943,0.449,0.028,1.68e-06,0.366,0.236,144.833,"['pop rap', 'rap', 'trap', 'viral trap']"
